sub_code,sub_name,sub_type,sem
REE553,CONTROL SYSTEM LAB,Practical,5
REE554,SOFTWARE BASED POWER SYSTEM LAB,Practical,5
REE555,SEMINAR-I,Practical,5
REE601,POWER ELECTRONICS,Theory,6
REE602,MICROPROCESSOR,Theory,6
REE603,POWER SYSTEM ANALYSIS,Theory,6
REE063,High Voltage Engineering,Theory,6
REE661,POWER ELECTRONICS LAB,Practical,6
REE662,MICROPROCESSOR LAB,Practical,6
REE664,ELECTRICAL DESIGN & FABRICATION LAB,Practical,6
REE665,SEMINAR-II,Practical,6
ROE073,Cloud computing,Theory,7
REE071,Utilization of Electrical Energy & Electric Traction,Theory,7
REE076,Energy Efficiency & Conservation,Theory,7
REE701,ELECTRICAL DRIVES,Theory,7
REE702,POWER SYSTEM PROTECTION,Theory,7
REE751,INDUSTRIAL AUTOMATION & PLC LAB,Practical,7
REE752,POWER SYSTEM LAB,Practical,7
REE753,INDUSTRIAL TRAINING,Practical,7
REE754,PROJECT-1,Practical,7
