roll_no,sub_code,internal_marks,external_marks,sgpa,total_marks
1783930003,RCE151,44,39,7.63,83
1783930003,RAS203,15,34,7.29,49
1783930003,RAS201,15,48,7.29,63
1783930003,REE201,27,40,7.29,67
1783930003,RAS204,27,36,7.29,63
1783930003,REC201,21,45,7.29,66
1783930003,RAS251,44,48,7.29,92
1783930003,REE251,47,49,7.29,96
1783930003,RAS254,45,45,7.29,90
1783930003,RME252,49,41,7.29,90
1783930003,RAS301,20,56,7.25,76
1783930003,RVE301,21,25,7.25,46
1783930003,REE305,28,39,7.25,67
1783930003,REC301,21,48,7.25,69
1783930003,REC302,23,37,7.25,60
1783930003,REC303,21,39,7.25,60
1783930003,REC351,40,41,7.25,81
1783930003,REC352,40,46,7.25,86
1783930003,REC353,39,42,7.25,81
1783930003,REC354,45,44,7.25,89
1783930003,ROE047,26,47,8.0,73
1783930003,RAS402,22,49,8.0,71
1783930003,REC401,26,48,8.0,74
1783930003,REC402,17,44,8.0,61
1783930003,REC403,24,49,8.0,73
1783930003,RCS406,26,41,8.0,67
1783930003,REC451,45,46,8.0,91
1783930003,REC452,48,49,8.0,97
1783930003,REC453,49,44,8.0,93
1783930003,RCS456,47,41,8.0,88
1783930003,RAS501,27,40,7.38,67
1783930003,RAS502,26,45,7.38,71
1783930003,REC501A,21,45,7.38,66
1783930003,REC502,23,40,7.38,63
1783930003,REC503,17,56,7.38,73
1783930003,REC051,17,41,7.38,58
1783930003,REC551,44,42,7.38,86
1783930003,REC552,37,40,7.38,77
1783930003,REC553,41,40,7.38,81
1783930003,REC554,43,45,7.38,88
1783930003,RAS601,28,51,7.92,79
1783930003,RUC601,25,49,7.92,74
1783930003,RIC603,21,46,7.92,67
1783930003,REC601,25,49,7.92,74
1783930003,REC602,26,49,7.92,75
1783930003,REC064,18,44,7.92,62
1783930003,REC651,44,44,7.92,88
1783930003,REC652,43,44,7.92,87
1783930003,RIC653,42,44,7.92,86
1783930003,RIC651,45,45,7.92,90
1783930003,ROE072,23,35,8.46,58
1783930003,REC072,28,43,8.46,71
1783930003,REC075,26,54,8.46,80
1783930003,REC701,29,53,8.46,82
1783930003,REC702,26,50,8.46,76
1783930003,REC751,48,50,8.46,98
1783930003,REC752,48,50,8.46,98
