roll_no,sub_code,internal_marks,external_marks,back_marks,sgpa
1783930001,RAS101,21,43,--,7.67
1783930001,RAS102,24,37,--,7.67
1783930001,RAS103,24,69,--,7.67
1783930001,RME101,26,41,--,7.67
1783930001,RCS101,23,23,--,7.67
1783930001,RAS152,46,42,--,7.67
1783930001,RME151,46,43,--,7.67
1783930001,RCS151,42,40,--,7.67
1783930001,RCE151,44,41,--,7.67
1783930001,RAS203,29,63,--,7.79
1783930001,RAS201,24,48,--,7.79
1783930001,REE201,29,28,--,7.79
1783930001,RAS204,19,44,--,7.79
1783930001,REC201,24,33,--,7.79
1783930001,RAS251,48,45,--,7.79
1783930001,REE251,48,45,--,7.79
1783930001,RAS254,40,38,--,7.79
1783930001,RME252,46,40,--,7.79
1783930001,RAS301,26,60,--,7.25
1783930001,RVE301,16,13,27*,7.25
1783930001,REE305,27,45,--,7.25
1783930001,REC301,22,40,--,7.25
1783930001,REC302,23,39,--,7.25
1783930001,REC303,27,32,--,7.25
1783930001,REC351,44,44,--,7.25
1783930001,REC352,40,36,--,7.25
1783930001,REC353,39,48,--,7.25
1783930001,REC354,41,44,--,7.25
1783930001,ROE047,22,41,--,7.21
1783930001,RAS402,20,43,--,7.21
1783930001,REC401,20,38,--,7.21
1783930001,REC402,24,50,--,7.21
1783930001,REC403,22,37,--,7.21
1783930001,RCS406,22,44,--,7.21
1783930001,REC451,40,35,--,7.21
1783930001,REC452,42,44,--,7.21
1783930001,REC453,42,46,--,7.21
1783930001,RCS456,44,41,--,7.21
1783930001,RAS501,25,43,--,7.71
1783930001,RAS502,23,36,--,7.71
1783930001,REC501A,26,38,--,7.71
1783930001,REC502,26,51,--,7.71
1783930001,REC503,26,49,--,7.71
1783930001,REC051,24,51,--,7.71
1783930001,REC551,46,38,--,7.71
1783930001,REC552,42,45,--,7.71
1783930001,REC553,47,46,--,7.71
1783930001,REC554,45,42,--,7.71
1783930001,RAS601,28,50,--,7.67
1783930001,RUC601,23,46,--,7.67
1783930001,RIC603,20,44,--,7.67
1783930001,REC601,25,48,--,7.67
1783930001,REC602,22,45,--,7.67
1783930001,REC064,19,43,--,7.67
1783930001,REC651,45,44,--,7.67
1783930001,REC652,43,43,--,7.67
1783930001,RIC653,42,43,--,7.67
1783930001,RIC651,48,44,--,7.67
1783930001,ROE072,22,41,--,7.54
1783930001,REC072,24,43,--,7.54
1783930001,REC075,24,38,--,7.54
1783930001,REC701,28,36,--,7.54
1783930001,REC702,24,48,--,7.54
1783930001,REC751,44,46,--,7.54
1783930001,REC752,36,46,--,7.54
1783930001,REC753,76,,--,7.54
1783930001,REC754,155,,--,7.54
1783930002,RAS101,19,35,--,6.75
1783930002,RAS102,19,21,--,6.75
1783930002,RAS103,20,51,--,6.75
1783930002,RME101,20,38,--,6.75
1783930002,RCS101,30,39,--,6.75
1783930002,RAS152,40,38,--,6.75
1783930002,RME151,40,43,--,6.75
1783930002,RCS151,50,46,--,6.75
1783930002,RCE151,45,39,--,6.75
1783930002,RAS203,12,33,--,6.79
1783930002,RAS201,15,50,--,6.79
1783930002,REE201,19,35,--,6.79
1783930002,RAS204,21,56,--,6.79
1783930002,REC201,16,38,--,6.79
1783930002,RAS251,42,42,--,6.79
1783930002,REE251,38,48,--,6.79
